id,title,year,credit,country,state,city,latitude,longitude
2017703685,"Satire Lounge sign, Colfax Avenue (Route 40), Denver, Colorado",2004.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Colorado,Denver,39.73915,-104.9847
2017711175,"Hotel Intercontinental, Hilton Head Island, South Carolina",1985.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,South Carolina,Hilton Head Island,32.19382,-80.73816
2017704836,"Haunted house, Goofy Golf, Panama City Beach, Florida",1979.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Florida,Panama City Beach,30.17659,-85.80549
2017705143,"Sand-trap horizontal, Rainbow Falls Golf, Myrtle Beach, South Carolina",1988.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,South Carolina,Myrtle Beach,33.68906,-78.88669
2017703915,"Eldorado Bowl sign (#1), Route 36, Decatur, Illinois",2003.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Illinois,Decatur,39.84031,-88.9548
2017708372,"Rich's mini golf, clock, Wyoming, Pennsylvania",1984.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Pennsylvania,Wyoming,41.31175,-75.83742
2017705709,"Three Little Pig's brick house three-quarter view, Storybook Land Park, Aberdeen, South Dakota",1987.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,South Dakota,Aberdeen,45.4647,-98.48648
2017708667,"Harold Warp Pioneer Village, Minden, Nebraska",1996.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Nebraska,Minden,40.49863,-98.94786
2017705866,,1982.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Texas,,,
2017702700,"Fresh Barber Beauty Salon, view from right, South 13th Street, Springfield, Illinois",2003.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Illinois,Springfield,39.80172,-89.64371
2017710758,"Homowack Hotel/Lodge, Spring Glen, New York",1977.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,New York ,Spring Glen,,
2017712511,"Sky Tower, Daytona Beach, Florida",1979.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Florida,Daytona Beach,29.21081,-81.02283
